index,c_score,b_score,feasible_flag,selected_flag
16,0.0,1341.4791,1,1
56,0.0,169.55518,0,0
87,0.0,138.40173,0,0
133,0.0,683.91547,1,1
321,0.0,704.8885,1,1
457,0.0,151.0029,0,0
489,0.0,1275.5356,1,1
824,0.0,2586.4336,1,1
952,0.0,273.11603,0,0
956,0.0,539.7085,0,0
1129,0.0,194.08347,0,0
1598,0.0,328.5442,0,0
1860,0.0,383.49036,0,0
1866,0.0,666.3178,1,1
1971,0.0,197.90665,0,0
1972,0.0,757.65686,1,1
2753,0.0,197.31207,0,0
2897,0.0,108.52211,0,0
2940,0.0,529.38416,0,0
3351,0.0,201.53586,0,0
3475,0.0,2792.753,1,1
3480,0.0,857.1675,1,1
3520,0.0,351.505,0,0
3632,0.0,522.5035,0,0
3818,0.0,1612.7957,1,1
3945,0.0,8.753939,0,0
4062,0.0,306.84305,0,0
4140,0.0,531.43335,0,0
4158,0.0,276.41028,0,0
4228,0.0,494.7249,0,0
4265,0.0,692.3539,1,1
4439,0.0,870.9137,1,1
4497,0.0,681.6614,1,1
4518,0.0,2649.812,1,1
4764,0.0,775.57764,1,1
4861,0.0,50.586945,0,0
5066,0.0,662.282,1,1
5122,0.0,167.52234,0,0
5154,0.0,1107.6824,1,1
5441,0.0,613.38,1,1
5618,0.0,517.87585,0,0
5733,0.0,683.23987,1,1
5739,0.0,573.78723,0,0
5744,0.0,1309.2502,1,1
5783,0.0,2005.6079,1,0
5815,0.0,122.00354,0,0
5912,0.0,913.53296,1,0
6184,0.0,459.61835,0,0
6272,0.0,667.12506,1,0
6363,0.0,796.0968,1,0
6392,0.0,443.5515,0,0
6467,0.0,1231.5363,1,0
6497,0.0,3310.773,1,0
6548,0.0,68.08302,0,0
6612,0.0,961.5714,1,0
6797,0.0,621.92334,1,0
6821,0.0,1538.5189,1,0
6863,0.0,557.9026,0,0
6899,0.0,722.6791,1,0
7168,0.0,323.46777,0,0
7260,0.0,4109.298,1,0
7272,0.0,312.54187,0,0
7273,0.0,1217.3296,1,0
7398,0.0,1631.6572,1,0
7467,0.0,4241.9697,1,0
7507,0.0,361.4317,0,0
7568,0.0,220.16655,0,0
7712,0.0,2235.9077,1,0
7732,0.0,372.97375,0,0
7825,0.0,296.71002,0,0
7858,0.0,874.31165,1,0
7932,0.0,456.0564,0,0
8159,0.0,317.0629,0,0
8407,0.0,431.13007,0,0
8448,0.0,720.3648,1,0
8459,0.0,2020.053,1,0
8581,0.0,824.71716,1,0
8687,0.0,20.343098,0,0
8733,0.0,630.2229,1,0
8758,0.0,2253.6953,1,0
8849,0.0,490.17834,0,0
9166,0.0,1050.0033,1,0
9305,0.0,309.80994,0,0
9373,0.0,180.19083,0,0
9380,0.0,521.3235,0,0
9827,0.0,762.2572,1,0
9831,0.0,1631.5564,1,0
10099,0.0,625.9477,1,0
10132,0.0,1430.3008,1,0
10155,0.0,140.57814,0,0
10167,0.0,85.63531,0,0
10213,0.0,853.8835,1,0
10226,0.0,981.84375,1,0
10237,0.0,82.48611,0,0
10577,0.0,606.98224,1,0
10636,0.0,620.13916,1,0
10656,0.0,659.5984,1,0
10771,0.0,639.7512,1,0
10938,0.0,508.45813,0,0
11033,0.0,814.0464,1,0
11038,0.0,307.16925,0,0
11065,0.0,292.52765,0,0
11076,0.0,418.6689,0,0
11083,0.0,1389.0481,1,0
11102,0.0,948.7996,1,0
11132,0.0,1456.5939,1,0
11178,0.0,322.58136,0,0
11197,0.0,611.2262,1,0
11282,0.0,1193.1731,1,0
11327,0.0,458.83533,0,0
11436,0.0,2290.9658,1,0
11476,0.0,1017.9794,1,0
11477,0.0,632.7544,1,0
11703,0.0,396.78595,0,0
11782,0.0,913.78864,1,0
11854,0.0,937.7434,1,0
11944,0.0,665.9732,1,0
12024,0.0,222.28822,0,0
12070,0.0,125.772995,0,0
12196,0.0,437.83588,0,0
12405,0.0,1056.0966,1,0
12497,0.0,156.75262,0,0
12517,0.0,843.0102,1,0
12563,0.0,1608.2904,1,0
12615,0.0,603.77014,0,0
12628,0.0,880.73694,1,0
12680,0.0,1851.2302,1,0
12879,0.0,71.16708,0,0
12980,0.0,258.6889,0,0
13021,0.0,56.8381,0,0
13197,0.0,277.78656,0,0
13242,0.0,3754.0215,1,0
13450,0.0,1884.4136,1,0
13546,0.0,608.6181,1,0
13625,0.0,2644.2407,1,0
13629,0.0,1269.913,1,0
13657,0.0,1007.53345,1,0
13879,0.0,594.3517,0,0
13958,0.0,982.03613,1,0
14293,0.0,85.53504,0,0
14316,0.0,657.6693,1,0
14326,0.0,2284.0435,1,0
14409,0.0,1732.165,1,0
14483,0.0,553.89465,0,0
14487,0.0,518.3654,0,0
14503,0.0,10.447161,0,0
14509,0.0,525.7633,0,0
14572,0.0,908.4458,1,0
14667,0.0,1162.1165,1,0
14787,0.0,213.47427,0,0
14831,0.0,2393.666,1,0
14835,0.0,1400.1375,1,0
14916,0.0,416.24164,0,0
15009,0.0,51.6886,0,0
15013,0.0,328.2766,0,0
15045,0.0,1872.915,1,0
15159,0.0,1423.5823,1,0
15171,0.0,282.74652,0,0
15208,0.0,466.54047,0,0
15260,0.0,632.8318,1,0
15301,0.0,34.980896,0,0
15326,0.0,2056.352,1,0
15810,0.0,281.97986,0,0
15952,0.0,294.6571,0,0
15986,0.0,384.59515,0,0
15992,0.0,568.8139,0,0
16046,0.0,1586.0406,1,0
16160,0.0,856.0646,1,0
16273,0.0,727.5217,1,0
16340,0.0,422.35242,0,0
16345,0.0,180.97137,0,0
16367,0.0,25.945362,0,0
16392,0.0,2091.8022,1,0
16475,0.0,773.48114,1,0
16507,0.0,92.53931,0,0
16645,0.0,1823.2767,1,0
16675,0.0,8.855084,0,0
16705,0.0,797.94684,1,0
16756,0.0,228.64679,0,0
16840,0.0,17.903118,0,0
16843,0.0,903.423,1,0
16930,0.0,519.8795,0,0
16986,0.0,903.42737,1,0
17168,0.0,3727.4954,1,0
17382,0.0,452.93512,0,0
17425,0.0,48.65849,0,0
17441,0.0,2967.3252,1,0
17495,0.0,346.714,0,0
17665,0.0,2552.1567,1,0
17738,0.0,112.12963,0,0
17755,0.0,3445.8843,1,0
17954,0.0,58.11308,0,0
17993,0.0,490.39056,0,0
18004,0.0,494.97668,0,0
18049,0.0,415.85944,0,0
18164,0.0,578.6626,0,0
18252,0.0,2529.5837,1,0
18266,0.0,1584.8148,1,0
18284,0.0,925.4597,1,0
18336,0.0,204.65979,0,0
18455,0.0,2193.0625,1,0
18541,0.0,983.1874,1,0
18589,0.0,281.1642,0,0
18688,0.0,689.35925,1,0
18746,0.0,54.602955,0,0
18861,0.0,1039.2257,1,0
18903,0.0,2317.5623,1,0
19709,0.0,2022.2017,1,0
19754,0.0,435.73114,0,0
19776,0.0,1775.4933,1,0
19972,0.0,162.14235,0,0
20171,0.0,301.90802,0,0
20216,0.0,1285.6106,1,0
20246,0.0,662.3483,1,0
20409,0.0,179.27411,0,0
20550,0.0,369.16693,0,0
20575,0.0,448.25488,0,0
20771,0.0,399.57544,0,0
20889,0.0,515.38696,0,0
20902,0.0,117.26105,0,0
20910,0.0,1338.2571,1,0
21037,0.0,511.66193,0,0
21088,0.0,245.58621,0,0
21090,0.0,821.84204,1,0
21165,0.0,820.0106,1,0
21195,0.0,750.7024,1,0
21197,0.0,771.6095,1,0
21210,0.0,1953.388,1,0
21297,0.0,613.8612,1,0
21359,0.0,91.953285,0,0
21413,0.0,64.08995,0,0
21432,0.0,184.45302,0,0
21462,0.0,2448.4126,1,0
21523,0.0,1165.5848,1,0
21810,0.0,899.7125,1,0
22137,0.0,529.2683,0,0
22161,0.0,1249.8577,1,0
22163,0.0,967.1482,1,0
22256,0.0,819.61,1,0
22415,0.0,1198.5159,1,0
22771,0.0,1635.8846,1,0
22809,0.0,302.91547,0,0
22922,0.0,3077.584,1,0
22999,0.0,160.30118,0,0
23030,0.0,1253.7755,1,0
23147,0.0,149.13943,0,0
23175,0.0,519.53644,0,0
23178,0.0,396.59006,0,0
23189,0.0,1481.0233,1,0
23225,0.0,2039.4038,1,0
23260,0.0,9.369322,0,0
23279,0.0,456.6286,0,0
23324,0.0,162.06726,0,0
23592,0.0,3452.3574,1,0
23718,0.0,841.686,1,0
23728,0.0,98.0904,0,0
23762,0.0,191.74591,0,0
23828,0.0,508.18335,0,0
23956,0.0,169.45581,0,0
23987,0.0,667.333,1,0
24043,0.0,2935.1328,1,0
24050,0.0,807.83093,1,0
24055,0.0,891.6052,1,0
24361,0.0,1517.749,1,0
24598,0.0,1050.801,1,0
24660,0.0,689.2864,1,0
24726,0.0,1672.439,1,0
24761,0.0,576.2716,0,0
24793,0.0,256.58585,0,0
24805,0.0,1487.5209,1,0
24874,0.0,502.47546,0,0
24939,0.0,274.40588,0,0
24979,0.0,215.35036,0,0
25052,0.0,507.74384,0,0
25104,0.0,1095.8958,1,0
25297,0.0,1074.5591,1,0
