2026-03-31 00:35:39 | INFO | Starting method=saal_dual_b seed=7 device=cpu run_dir=C:\Users\user\Desktop\ADV-AL\_tmp_check\smoke_saal_dual_b | GPU: n/a
2026-03-31 00:35:40 | INFO | Data loaded in 0.67s (train_total=50000 al_train=50000 val_fixed=0 test=10000) | GPU: n/a
2026-03-31 00:35:40 | INFO | [Round 0] labeled=50 train=50 val_fixed=0 | GPU: n/a
2026-03-31 00:35:40 | INFO | [Round 0] epoch=1/1 loss=2.3244 acc=10.00 val_acc=nan data_t=0.1481s batch_t=0.1347s epoch_t=00:00.28 lr=0.000010 | GPU: n/a
2026-03-31 00:35:40 | INFO | [Round 0] Epoch 1/1 time=00:00.28 avg=00:00.28 ETA=00:00.00 | GPU: n/a
2026-03-31 00:35:40 | INFO | [Round 0] training complete in 00:00.30 (best monitor=10.000) | GPU: n/a
2026-03-31 00:35:40 | INFO | [Round 0] evaluation started | GPU: n/a
2026-03-31 00:36:27 | INFO | [Round 0] clean=10.26 fgsm=7.88 pgd=7.88 grad_disp_mean=nan grad_disp_sel=nan round_t=47.34s | GPU: n/a
2026-03-31 00:36:27 | INFO | [Round 1/2] elapsed=00:47.34 avg_round=00:47.34 projected_remaining=00:47.34 | GPU: n/a
2026-03-31 00:36:28 | INFO | [Round 1] acquisition on pool_size=49950 scored_pool=512 budget=20 | GPU: n/a
2026-03-31 00:36:31 | INFO | [SAAL] scoring progress 2/2 elapsed=00:03.01 avg/batch=1.506s ETA=00:00.00 | GPU: n/a
2026-03-31 00:36:31 | INFO | [SAAL_DUAL_B_C] scoring progress 2/2 elapsed=00:00.56 avg/batch=0.278s ETA=00:00.00 | GPU: n/a
2026-03-31 00:36:31 | INFO | [SAAL_DUAL_B] c_stats min=0.000000 max=0.000000 mean=0.000000 std=0.000000 | GPU: n/a
2026-03-31 00:36:31 | INFO | [SAAL_DUAL_B] saal_stats min=3.018095 max=4832.119141 mean=827.641968 std=769.386719 | GPU: n/a
2026-03-31 00:36:31 | INFO | [SAAL_DUAL_B] thresholds kappa_b(q=0.500)=605.376221 feasible_size=256 pool_size=512 | GPU: n/a
2026-03-31 00:36:31 | INFO | [SAAL_DUAL_B] timing saal=3.013s c_scores=0.556s filter=0.010s selection=0.001s total=3.580s | GPU: n/a
2026-03-31 00:36:31 | INFO | [Round 1] saved debug scores to C:\Users\user\Desktop\ADV-AL\_tmp_check\smoke_saal_dual_b\selected_indices\round_01_dual_scores.csv | GPU: n/a
2026-03-31 00:36:31 | INFO | [Round 1] labeled=70 train=70 val_fixed=0 | GPU: n/a
2026-03-31 00:36:31 | INFO | [Round 1] epoch=1/1 loss=2.2724 acc=22.86 val_acc=nan data_t=0.0210s batch_t=0.0555s epoch_t=00:00.08 lr=0.000010 | GPU: n/a
2026-03-31 00:36:31 | INFO | [Round 1] Epoch 1/1 time=00:00.08 avg=00:00.08 ETA=00:00.00 | GPU: n/a
2026-03-31 00:36:31 | INFO | [Round 1] training complete in 00:00.09 (best monitor=22.857) | GPU: n/a
2026-03-31 00:36:31 | INFO | [Round 1] evaluation started | GPU: n/a
2026-03-31 00:37:01 | INFO | [Round 1] clean=10.44 fgsm=3.55 pgd=3.44 grad_disp_mean=nan grad_disp_sel=nan round_t=33.09s | GPU: n/a
2026-03-31 00:37:01 | INFO | [Round 2/2] elapsed=00:33.09 avg_round=00:40.21 projected_remaining=00:00.00 | GPU: n/a
2026-03-31 00:37:01 | INFO | Method saal_dual_b finished in 82.42s | GPU: n/a
