acquisition_pool_scored_size,acquisition_scoring_time_sec,avg_logit_mismatch,clean_acc,eval_time_sec,fgsm_acc,labeled_size,mean_grad_disp_score,method,pgd10_acc,pgd_acc,pool_size,round,round_time_sec,selected_mean_grad_disp_score,selection_time_sec,train_time_sec
49500,0.0,nan,41.55,8.516402764013037,31.79,500,nan,coreset,31.55,31.55,49500,0,37.742928257910535,nan,0.0,28.68733962997794
5000,0.6934620740357786,nan,44.76,8.489623775007203,34.77,600,nan,coreset,34.39,34.39,49400,1,47.84719714592211,nan,1.4685804590117186,36.68633294920437
5000,0.6040804921649396,nan,46.64,8.390092953806743,36.64,700,nan,coreset,36.45,36.45,49300,2,53.25675036991015,nan,1.1994605569634587,42.39032376301475
5000,0.5861512909177691,nan,48.28,8.367531103082001,37.85,800,nan,coreset,37.56,37.56,49200,3,60.43979427614249,nan,0.30201871204189956,50.4494963879697
5000,0.6130505469627678,nan,48.13,8.700422480003908,39.89,900,nan,coreset,39.76,39.76,49100,4,67.13848978513852,nan,0.492836126126349,56.60387436510064
5000,0.6421363409608603,nan,50.4,8.71932628005743,39.54,1000,nan,coreset,39.26,39.26,49000,5,70.56651843199506,nan,0.8834266969934106,59.59060809202492
5000,0.6254015101585537,nan,52.53,8.822246477007866,40.91,1100,nan,coreset,40.6,40.6,48900,6,78.37678469787352,nan,1.3588132341392338,66.77699851198122
5000,0.621173475170508,nan,53.12,8.7889658738859,42.2,1200,nan,coreset,41.88,41.88,48800,7,83.27225152309984,nan,1.3258870218414813,71.75482722488232
5000,0.6356937501113862,nan,55.04,8.883330401964486,43.25,1300,nan,coreset,42.83,42.83,48700,8,90.23319953796454,nan,1.2269829530268908,78.78679946018383
5000,0.6326617628801614,nan,56.45,8.991356954909861,45.05,1400,nan,coreset,44.72,44.72,48600,9,94.76618001703173,nan,1.36740666301921,82.98075857991353
5000,0.6828790681902319,nan,57.46,8.84738654200919,46.01,1500,nan,coreset,45.69,45.69,48500,10,101.12110637896694,nan,1.3516949380282313,89.48561727697961
5000,0.6304481618572026,nan,57.97,8.75944388192147,46.25,1600,nan,coreset,46.02,46.02,48400,11,106.77785888197832,nan,1.2651039429474622,95.30973929795437
5000,0.6450263389851898,nan,58.85,8.876600755145773,47.0,1700,nan,coreset,46.8,46.8,48300,12,113.71007443708368,nan,1.4060105150565505,102.04199343500659
5000,0.6766318269073963,nan,58.66,8.956389436032623,47.57,1800,nan,coreset,47.24,47.24,48200,13,120.02231926098466,nan,1.4088511040899903,108.26879969402216
5000,0.6739147331099957,nan,61.45,8.821962404996157,48.84,1900,nan,coreset,48.57,48.57,48100,14,125.1345665550325,nan,1.4174804238136858,113.45212727296166
5000,0.6461084210313857,nan,62.45,9.053115491056815,50.09,2000,nan,coreset,49.76,49.76,48000,15,130.78633920685388,nan,1.5219963879790157,118.78306913096458
5000,0.6983872430864722,nan,62.45,9.030391704989597,50.46,2100,nan,coreset,50.16,50.16,47900,16,135.9171909170691,nan,0.4995009829290211,124.92288048914634
5000,0.6574673559516668,nan,64.85,9.080989678855985,52.87,2200,nan,coreset,52.54,52.54,47800,17,143.70093155489303,nan,1.044898004969582,132.14274940802716
5000,0.6223675180226564,nan,64.33,9.110527866054326,52.02,2300,nan,coreset,51.69,51.69,47700,18,147.9087446089834,nan,0.6920673479326069,136.71351625886746
5000,0.6407155059278011,nan,64.91,9.040005594026297,52.76,2400,nan,coreset,52.42,52.42,47600,19,154.97646245011128,nan,0.8342035608366132,143.7811770942062
5000,0.6458289220463485,nan,65.31,8.724428582936525,53.04,2500,nan,coreset,52.65,52.65,47500,20,158.76732588093728,nan,0.9184698380995542,147.80199980502948
