2026-04-11 17:36:25 | INFO | Starting method=coreset seed=3 device=cuda run_dir=/data1/doyoung/ADV-AL/experiments/set_ADV_main_resnet18_cifar100/cifar100_resnet18_coreset_b100_r20/seed_3 | GPU MB alloc/reserved=0.0/0.0
2026-04-11 17:36:26 | INFO | Data loaded in 0.85s (train_total=50000 al_train=50000 val_fixed=0 test=10000) | GPU: n/a
2026-04-11 17:36:26 | INFO | [Round 0] labeled=500 train=500 val_fixed=0 | GPU MB alloc/reserved=42.9/64.0
2026-04-11 17:36:27 | INFO | [Round 0] epoch=1/80 loss=4.7873 acc=1.80 val_acc=nan data_t=0.0387s batch_t=0.3061s epoch_t=00:01.38 lr=0.001000 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:27 | INFO | [Round 0] Epoch 1/80 time=00:01.38 avg=00:01.38 ETA=01:49.00 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:28 | INFO | [Round 0] epoch=2/80 loss=4.3746 acc=5.00 val_acc=nan data_t=0.0085s batch_t=0.0901s epoch_t=00:00.39 lr=0.000998 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:28 | INFO | [Round 0] Epoch 2/80 time=00:00.39 avg=00:00.89 ETA=01:09.20 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:28 | INFO | [Round 0] epoch=3/80 loss=4.0668 acc=7.60 val_acc=nan data_t=0.0096s batch_t=0.0853s epoch_t=00:00.38 lr=0.000997 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:28 | INFO | [Round 0] Epoch 3/80 time=00:00.38 avg=00:00.72 ETA=00:55.29 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:29 | INFO | [Round 0] epoch=4/80 loss=3.8120 acc=10.80 val_acc=nan data_t=0.0083s batch_t=0.0832s epoch_t=00:00.37 lr=0.000994 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:29 | INFO | [Round 0] Epoch 4/80 time=00:00.37 avg=00:00.63 ETA=00:47.89 | GPU MB alloc/reserved=190.8/996.0
