acquisition_pool_scored_size,acquisition_scoring_time_sec,avg_logit_mismatch,clean_acc,eval_time_sec,fgsm_acc,labeled_size,mean_grad_disp_score,method,pgd10_acc,pgd_acc,pool_size,round,round_time_sec,selected_mean_grad_disp_score,selection_time_sec,train_time_sec
49500,0.0,nan,39.95,2.4817128679715097,33.96,500,nan,badge,33.91,33.91,49500,0,17.09022005391307,nan,0.0,14.346070657018572
5000,0.2865792871452868,nan,45.3,2.5077692370396107,37.68,600,nan,badge,37.64,37.64,49400,1,18.736815416021273,nan,0.2173716260585934,15.548435651930049
5000,0.2869457749184221,nan,48.23,2.644545000977814,40.63,700,nan,badge,40.53,40.53,49300,2,21.330465763108805,nan,0.22447536792606115,17.913727572886273
5000,0.2769249780103564,nan,48.35,2.5569370528683066,40.77,800,nan,badge,40.65,40.65,49200,3,23.390745752956718,nan,0.22553801187314093,20.040651299990714
5000,0.2621245470363647,nan,43.68,2.7582645639777184,37.7,900,nan,badge,37.67,37.67,49100,4,25.99144544103183,nan,0.221902685938403,22.465221071150154
5000,0.27963416115380824,nan,53.26,2.608151608146727,44.14,1000,nan,badge,43.88,43.88,49000,5,25.435343857156113,nan,0.23008514498360455,22.027000540168956
5000,0.2697426259983331,nan,53.47,2.7259347361978143,44.23,1100,nan,badge,44.08,44.08,48900,6,28.521375829121098,nan,0.21716676093637943,25.03887378005311
5000,0.256069767056033,nan,53.88,2.5699832579120994,44.6,1200,nan,badge,44.4,44.4,48800,7,30.238129213918,nan,0.2255970099940896,26.89649502397515
5000,0.2630587450694293,nan,51.91,2.571186110144481,44.29,1300,nan,badge,44.19,44.19,48700,8,32.607016273075715,nan,0.22435455000959337,29.263117912923917
5000,0.29012750601395965,nan,56.68,2.360185523983091,46.95,1400,nan,badge,46.58,46.58,48600,9,32.423173303948715,nan,0.21594532602466643,29.27874431805685
5000,0.35433846595697105,nan,54.55,2.3899329889100045,45.39,1500,nan,badge,45.24,45.24,48500,10,34.50318890204653,nan,0.22607529698871076,31.228022071998566
5000,0.2733462469186634,nan,56.4,2.830664929933846,47.11,1600,nan,badge,47.0,47.0,48400,11,37.415642177918926,nan,0.22612957493402064,33.80602042586543
5000,0.28137874789536,nan,58.31,2.520305310143158,48.49,1700,nan,badge,48.36,48.36,48300,12,39.72466269484721,nan,0.22320183413103223,36.39193577389233
5000,0.2774241450242698,nan,53.62,2.5134290440473706,46.07,1800,nan,badge,45.99,45.99,48200,13,41.47707607294433,nan,0.22104897000826895,38.188162305159494
5000,0.2756747589446604,nan,59.58,2.6955711799673736,50.08,1900,nan,badge,49.91,49.91,48100,14,41.77634612098336,nan,0.22679981612600386,38.291825806954876
5000,0.2960339339915663,nan,60.34,2.456584738800302,50.19,2000,nan,badge,49.86,49.86,48000,15,44.32139001600444,nan,0.2241875238250941,41.06155154691078
5000,0.27401785482652485,nan,61.72,2.3400082970038056,51.39,2100,nan,badge,51.18,51.18,47900,16,46.53306583198719,nan,0.22836417518556118,43.41278119105846
5000,0.2774894640315324,nan,61.75,2.6813292640727013,51.95,2200,nan,badge,51.7,51.7,47800,17,47.83447864605114,nan,0.21985521190799773,44.3602463460993
5000,0.27795985294505954,nan,63.85,2.411424345104024,52.9,2300,nan,badge,52.61,52.61,47700,18,48.20307538099587,nan,0.22747890697792172,45.004979526856914
5000,0.258586399955675,nan,64.09,2.623410218860954,53.17,2400,nan,badge,52.88,52.88,47600,19,51.13679634802975,nan,0.2205077821854502,47.78346647694707
5000,0.28113763500005007,nan,63.1,2.822230071062222,52.89,2500,nan,badge,52.56,52.56,47500,20,52.931435249978676,nan,0.22685205284506083,49.30888987798244
