acquisition_pool_scored_size,acquisition_scoring_time_sec,avg_logit_mismatch,clean_acc,eval_time_sec,fgsm_acc,labeled_size,mean_grad_disp_score,method,pgd10_acc,pgd_acc,pool_size,round,round_time_sec,selected_mean_grad_disp_score,selection_time_sec,train_time_sec
49500,0.0,nan,44.32,2.6976789790205657,37.58,500,nan,coreset,37.52,37.52,49500,0,17.09416470793076,nan,0.0,14.160131067968905
5000,0.40491097792983055,nan,44.76,2.6037347139790654,37.43,600,nan,coreset,37.33,37.33,49400,1,19.97429916798137,nan,0.7363709579221904,16.08179024187848
5000,0.411059747915715,nan,46.15,2.287491863127798,38.86,700,nan,coreset,38.69,38.69,49300,2,21.807594038080424,nan,0.5529974161181599,18.20105223194696
5000,0.4090029099024832,nan,46.0,2.607980682980269,38.78,800,nan,coreset,38.67,38.67,49200,3,24.077067533973604,nan,0.1472326209768653,20.54820671491325
5000,0.41822522692382336,nan,41.52,2.6055270289070904,36.5,900,nan,coreset,36.49,36.49,49100,4,26.962738153059036,nan,0.52166593587026,23.048053483944386
5000,0.4252498031128198,nan,49.12,2.5248538840096444,40.65,1000,nan,coreset,40.47,40.47,49000,5,27.386123358039185,nan,0.525378986960277,23.548130474053323
5000,0.42887594108469784,nan,50.58,2.4937112878542393,42.2,1100,nan,coreset,42.06,42.06,48900,6,28.54339087707922,nan,0.5244637739378959,24.722640888998285
5000,0.43473625206388533,nan,51.15,2.4375080468598753,42.85,1200,nan,coreset,42.74,42.74,48800,7,32.055192389991134,nan,1.164356512017548,27.625819550128654
5000,0.4447352809365839,nan,49.69,2.5729210099671036,41.69,1300,nan,coreset,41.48,41.48,48700,8,33.43076650402509,nan,1.1607756039593369,28.868623850867152
5000,0.4148923580069095,nan,51.52,2.42658385518007,42.3,1400,nan,coreset,42.14,42.14,48600,9,33.25713084684685,nan,0.4645779540296644,29.54794132313691
5000,0.4280551162082702,nan,52.01,2.582888832082972,43.38,1500,nan,coreset,43.12,43.12,48500,10,36.190734916133806,nan,1.162979895947501,31.654442431870848
5000,0.4543381021358073,nan,53.81,2.404948750976473,44.45,1600,nan,coreset,44.24,44.24,48400,11,37.63054248597473,nan,0.468702174955979,33.91252707806416
5000,0.4360959439072758,nan,53.53,2.4277073619887233,44.21,1700,nan,coreset,43.95,43.95,48300,12,39.43690530303866,nan,0.2405423920135945,35.938098647864535
5000,0.43729143613018095,nan,52.25,2.4191299499943852,44.92,1800,nan,coreset,44.78,44.78,48200,13,42.046768015949056,nan,0.02720674406737089,38.80380154890008
5000,0.4401997800450772,nan,56.46,2.653502771165222,46.63,1900,nan,coreset,46.42,46.42,48100,14,43.55876062414609,nan,1.1723065010737628,38.90097605413757
5000,0.4413545511197299,nan,57.2,2.453763582976535,47.41,2000,nan,coreset,47.23,47.23,48000,15,45.01315784081817,nan,0.4817632280755788,41.26508141797967
5000,0.43668127502314746,nan,59.03,2.629389106994495,48.93,2100,nan,coreset,48.62,48.62,47900,16,46.64381064590998,nan,0.03743437607772648,43.16519104503095
5000,0.43590621394105256,nan,57.56,2.794720023171976,47.91,2200,nan,coreset,47.72,47.72,47800,17,49.34850665507838,nan,0.33780888305045664,45.37861958891153
5000,0.44251674017868936,nan,59.55,2.7459030200261623,49.53,2300,nan,coreset,49.32,49.32,47700,18,50.35307834087871,nan,0.652115325210616,46.125158969080076
5000,0.4552583408076316,nan,58.84,2.524763574823737,48.85,2400,nan,coreset,48.63,48.63,47600,19,51.822044347878546,nan,0.491678984137252,47.96309653110802
5000,0.4546292540617287,nan,59.21,2.4349535449873656,49.01,2500,nan,coreset,48.7,48.7,47500,20,54.00958508718759,nan,0.9715609459672123,49.738003780832514
