2026-04-07 13:03:38 | INFO | Starting method=coreset seed=4 device=cuda run_dir=/data1/doyoung/ADV-AL/experiments/set_ADV_main_moreround/cifar10_small_cnn_coreset_b100_r20/seed_4 | GPU MB alloc/reserved=0.0/0.0
2026-04-07 13:03:39 | INFO | Data loaded in 0.67s (train_total=50000 al_train=50000 val_fixed=0 test=10000) | GPU: n/a
2026-04-07 13:03:39 | INFO | [Round 0] labeled=500 train=500 val_fixed=0 | GPU MB alloc/reserved=8.9/22.0
2026-04-07 13:03:40 | INFO | [Round 0] epoch=1/80 loss=6.0806 acc=9.20 val_acc=nan data_t=0.0348s batch_t=0.2293s epoch_t=00:01.06 lr=0.001000 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 13:03:40 | INFO | [Round 0] Epoch 1/80 time=00:01.06 avg=00:01.06 ETA=01:23.47 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 13:03:40 | INFO | [Round 0] epoch=2/80 loss=5.2645 acc=10.80 val_acc=nan data_t=0.0110s batch_t=0.0342s epoch_t=00:00.18 lr=0.000998 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 13:03:40 | INFO | [Round 0] Epoch 2/80 time=00:00.18 avg=00:00.62 ETA=00:48.26 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 13:03:40 | INFO | [Round 0] epoch=3/80 loss=2.8511 acc=14.60 val_acc=nan data_t=0.0066s batch_t=0.0344s epoch_t=00:00.16 lr=0.000997 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 13:03:40 | INFO | [Round 0] Epoch 3/80 time=00:00.16 avg=00:00.47 ETA=00:35.97 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 13:03:40 | INFO | [Round 0] epoch=4/80 loss=2.5250 acc=15.40 val_acc=nan data_t=0.0066s batch_t=0.0276s epoch_t=00:00.14 lr=0.000994 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 13:03:40 | INFO | [Round 0] Epoch 4/80 time=00:00.14 avg=00:00.38 ETA=00:29.23 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 13:03:41 | INFO | [Round 0] epoch=5/80 loss=2.2487 acc=20.60 val_acc=nan data_t=0.0065s batch_t=0.0084s epoch_t=00:00.06 lr=0.000990 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 13:03:41 | INFO | [Round 0] Epoch 5/80 time=00:00.06 avg=00:00.32 ETA=00:23.97 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 13:03:41 | INFO | [Round 0] epoch=6/80 loss=2.1743 acc=17.60 val_acc=nan data_t=0.0111s batch_t=0.0084s epoch_t=00:00.08 lr=0.000986 | GPU MB alloc/reserved=52.0/394.0
