acquisition_pool_scored_size,acquisition_scoring_time_sec,avg_logit_mismatch,clean_acc,eval_time_sec,fgsm_acc,labeled_size,mean_grad_disp_score,method,pgd10_acc,pgd_acc,pool_size,round,round_time_sec,selected_mean_grad_disp_score,selection_time_sec,train_time_sec
49500,0.0,nan,9.57,1.1663466419558972,7.38,500,nan,badge,7.37,7.37,49500,0,9.719165679067373,nan,0.0,8.394793909043074
5000,0.4761602447833866,nan,9.41,1.1328883110545576,7.35,600,nan,badge,7.33,7.33,49400,1,12.445225245086476,nan,1.6890201810747385,8.996951850829646
5000,0.5282308200839907,nan,10.58,1.1499092350713909,8.28,700,nan,badge,8.25,8.25,49300,2,14.637196133844554,nan,1.6396757189650089,11.05594664113596
5000,0.5311976610682905,nan,9.79,1.2461426800582558,7.92,800,nan,badge,7.9,7.9,49200,3,15.407258899882436,nan,1.7167457931209356,11.597985646920279
5000,0.5172991440631449,nan,8.6,1.1708595759700984,7.55,900,nan,badge,7.51,7.51,49100,4,16.47978474991396,nan,1.6780411540530622,12.787092258920893
5000,0.588297822047025,nan,12.38,1.1667497151065618,9.61,1000,nan,badge,9.57,9.57,49000,5,16.798871014965698,nan,1.6649437709711492,13.090002899989486
5000,0.7545372641179711,nan,12.34,1.2119010428432375,9.94,1100,nan,badge,9.94,9.94,48900,6,16.982047461904585,nan,1.7960043558850884,12.867313252063468
5000,0.5276255588978529,nan,11.88,1.1866063480265439,9.52,1200,nan,badge,9.46,9.46,48800,7,16.167114886222407,nan,1.6753215838689357,12.410655882908031
5000,0.5836093320976943,nan,13.59,1.224956190912053,11.1,1300,nan,badge,11.11,11.11,48700,8,17.32204040000215,nan,1.6639194209128618,13.536262960871682
5000,0.6084480248391628,nan,14.95,1.2603929610922933,11.96,1400,nan,badge,11.87,11.87,48600,9,17.942767614033073,nan,1.6690474920906126,14.08696527290158
5000,0.5956938730087131,nan,15.65,1.157918451121077,12.49,1500,nan,badge,12.46,12.46,48500,10,19.484281512908638,nan,1.7077061450108886,15.687171953031793
5000,0.5831635158974677,nan,14.86,1.1620739579666406,12.13,1600,nan,badge,12.11,12.11,48400,11,19.75252652610652,nan,1.7036992751527578,15.959801000077277
5000,0.5996412788517773,nan,15.32,1.1586197291035205,11.95,1700,nan,badge,11.83,11.83,48300,12,21.136355780996382,nan,1.7009741968940943,17.35468061105348
5000,0.5586189548484981,nan,14.76,1.1391847298946232,12.0,1800,nan,badge,12.03,12.03,48200,13,20.592200119048357,nan,1.6713537119794637,16.86560609098524
5000,0.5144126750528812,nan,17.43,1.2112297690473497,13.91,1900,nan,badge,13.84,13.84,48100,14,20.74019642896019,nan,1.6506681479513645,17.030384450918064
5000,0.5881031011231244,nan,18.98,1.1397178280167282,14.68,2000,nan,badge,14.67,14.67,48000,15,21.993137639015913,nan,1.6991102600004524,18.23758336994797
5000,0.5499680729117244,nan,18.67,1.2166357738897204,14.95,2100,nan,badge,14.78,14.78,47900,16,21.593904856126755,nan,1.6723287971690297,17.78587511391379
5000,0.6039754950907081,nan,17.91,1.1984588888008147,14.22,2200,nan,badge,14.16,14.16,47800,17,22.16601503500715,nan,1.6566967519465834,18.387171395821497
5000,0.5931000059936196,nan,20.29,1.1428236740175635,15.84,2300,nan,badge,15.72,15.72,47700,18,23.360110750887543,nan,1.7004901729524136,19.553835360100493
5000,0.5489685188513249,nan,19.1,1.2089639189653099,15.1,2400,nan,badge,15.01,15.01,47600,19,24.140951231122017,nan,1.7240262900013477,20.313095401972532
5000,0.571011614985764,nan,20.27,1.1871831479948014,15.99,2500,nan,badge,15.83,15.83,47500,20,26.447364090010524,nan,1.6816756550688297,22.671966530848294
