2026-04-08 06:46:12 | INFO | Starting method=coreset seed=4 device=cuda run_dir=/data1/doyoung/ADV-AL/experiments/set_ADV_main_moreround_cifar100/cifar100_small_cnn_coreset_p10_b100_r20/seed_4 | GPU MB alloc/reserved=0.0/0.0
2026-04-08 06:46:13 | INFO | Data loaded in 0.88s (train_total=50000 al_train=50000 val_fixed=0 test=10000) | GPU: n/a
2026-04-08 06:46:13 | INFO | [Round 0] labeled=500 train=500 val_fixed=0 | GPU MB alloc/reserved=9.0/22.0
2026-04-08 06:46:14 | INFO | [Round 0] epoch=1/80 loss=5.5199 acc=0.80 val_acc=nan data_t=0.0545s batch_t=0.1695s epoch_t=00:00.90 lr=0.001000 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] Epoch 1/80 time=00:00.90 avg=00:00.90 ETA=01:10.83 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] epoch=2/80 loss=4.7125 acc=1.60 val_acc=nan data_t=0.0081s batch_t=0.0087s epoch_t=00:00.07 lr=0.000998 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] Epoch 2/80 time=00:00.07 avg=00:00.48 ETA=00:37.59 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] epoch=3/80 loss=4.4588 acc=2.80 val_acc=nan data_t=0.0068s batch_t=0.0092s epoch_t=00:00.06 lr=0.000997 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] Epoch 3/80 time=00:00.06 avg=00:00.34 ETA=00:26.38 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] epoch=4/80 loss=4.3837 acc=5.00 val_acc=nan data_t=0.0084s batch_t=0.0099s epoch_t=00:00.07 lr=0.000994 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] Epoch 4/80 time=00:00.07 avg=00:00.28 ETA=00:20.92 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] epoch=5/80 loss=4.2855 acc=7.60 val_acc=nan data_t=0.0071s batch_t=0.0086s epoch_t=00:00.06 lr=0.000990 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] Epoch 5/80 time=00:00.06 avg=00:00.23 ETA=00:17.46 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] epoch=6/80 loss=4.2275 acc=7.60 val_acc=nan data_t=0.0082s batch_t=0.0092s epoch_t=00:00.07 lr=0.000986 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] Epoch 6/80 time=00:00.07 avg=00:00.21 ETA=00:15.22 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] epoch=7/80 loss=4.1104 acc=8.60 val_acc=nan data_t=0.0067s batch_t=0.0085s epoch_t=00:00.06 lr=0.000981 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] Epoch 7/80 time=00:00.06 avg=00:00.18 ETA=00:13.50 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] epoch=8/80 loss=4.0229 acc=9.20 val_acc=nan data_t=0.0070s batch_t=0.0096s epoch_t=00:00.07 lr=0.000976 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] Epoch 8/80 time=00:00.07 avg=00:00.17 ETA=00:12.25 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] epoch=9/80 loss=3.9510 acc=11.00 val_acc=nan data_t=0.0081s batch_t=0.0094s epoch_t=00:00.07 lr=0.000969 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] Epoch 9/80 time=00:00.07 avg=00:00.16 ETA=00:11.29 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] epoch=10/80 loss=3.8463 acc=11.00 val_acc=nan data_t=0.0066s batch_t=0.0144s epoch_t=00:00.08 lr=0.000962 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] Epoch 10/80 time=00:00.08 avg=00:00.15 ETA=00:10.61 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] epoch=11/80 loss=3.7648 acc=10.80 val_acc=nan data_t=0.0095s batch_t=0.0091s epoch_t=00:00.07 lr=0.000955 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] Epoch 11/80 time=00:00.07 avg=00:00.14 ETA=00:09.97 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] epoch=12/80 loss=3.6727 acc=13.00 val_acc=nan data_t=0.0075s batch_t=0.0112s epoch_t=00:00.07 lr=0.000946 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:14 | INFO | [Round 0] Epoch 12/80 time=00:00.07 avg=00:00.14 ETA=00:09.44 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] epoch=13/80 loss=3.6230 acc=13.80 val_acc=nan data_t=0.0070s batch_t=0.0088s epoch_t=00:00.06 lr=0.000937 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] Epoch 13/80 time=00:00.06 avg=00:00.13 ETA=00:08.91 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] epoch=14/80 loss=3.5558 acc=14.20 val_acc=nan data_t=0.0066s batch_t=0.0118s epoch_t=00:00.07 lr=0.000927 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] Epoch 14/80 time=00:00.07 avg=00:00.13 ETA=00:08.50 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] epoch=15/80 loss=3.4210 acc=17.00 val_acc=nan data_t=0.0069s batch_t=0.0153s epoch_t=00:00.09 lr=0.000917 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] Epoch 15/80 time=00:00.09 avg=00:00.13 ETA=00:08.19 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] epoch=16/80 loss=3.4460 acc=17.20 val_acc=nan data_t=0.0068s batch_t=0.0091s epoch_t=00:00.06 lr=0.000905 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] Epoch 16/80 time=00:00.06 avg=00:00.12 ETA=00:07.82 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] epoch=17/80 loss=3.3493 acc=16.20 val_acc=nan data_t=0.0092s batch_t=0.0149s epoch_t=00:00.10 lr=0.000894 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] Epoch 17/80 time=00:00.10 avg=00:00.12 ETA=00:07.60 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] epoch=18/80 loss=3.2001 acc=21.60 val_acc=nan data_t=0.0094s batch_t=0.0099s epoch_t=00:00.08 lr=0.000881 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] Epoch 18/80 time=00:00.08 avg=00:00.12 ETA=00:07.33 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] epoch=19/80 loss=3.2405 acc=18.60 val_acc=nan data_t=0.0113s batch_t=0.0084s epoch_t=00:00.08 lr=0.000868 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] Epoch 19/80 time=00:00.08 avg=00:00.12 ETA=00:07.09 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] epoch=20/80 loss=3.2147 acc=23.40 val_acc=nan data_t=0.0068s batch_t=0.0084s epoch_t=00:00.06 lr=0.000855 | GPU MB alloc/reserved=52.3/394.0
2026-04-08 06:46:15 | INFO | [Round 0] Epoch 20/80 time=00:00.06 avg=00:00.11 ETA=00:06.81 | GPU MB alloc/reserved=52.3/394.0
