acquisition_pool_scored_size,acquisition_scoring_time_sec,avg_logit_mismatch,clean_acc,eval_time_sec,fgsm_acc,labeled_size,mean_grad_disp_score,method,pgd10_acc,pgd_acc,pool_size,round,round_time_sec,selected_mean_grad_disp_score,selection_time_sec,train_time_sec
49500,0.0,nan,8.9,1.4487548081669956,6.76,500,nan,coreset,6.73,6.73,49500,0,8.274193675955757,nan,0.0,6.628562201978639
5000,0.6127309598959982,nan,9.58,1.3902819261420518,7.5,600,nan,coreset,7.53,7.53,49400,1,9.371868846938014,nan,0.3407887378707528,6.856689764885232
5000,0.5239587479736656,nan,9.97,1.487087481888011,7.93,700,nan,coreset,7.85,7.85,49300,2,10.167140742065385,nan,0.025892616948112845,7.85050960816443
5000,0.812331061810255,nan,10.54,1.227581957122311,8.38,800,nan,coreset,8.36,8.36,49200,3,11.098548118956387,nan,0.036464723059907556,8.621660863980651
5000,0.5657798249740154,nan,8.44,1.2962698701303452,7.2,900,nan,coreset,7.18,7.18,49100,4,11.451657671947032,nan,0.0287468449678272,9.227951955981553
5000,0.5788428320083767,nan,12.34,1.4212382640689611,9.52,1000,nan,coreset,9.53,9.53,49000,5,12.608442713040859,nan,0.025970173999667168,10.241803782060742
5000,0.5872289079707116,nan,12.74,1.4749352468643337,10.04,1100,nan,coreset,10.01,10.01,48900,6,13.000426647020504,nan,0.02881956403143704,10.549996152054518
5000,0.5991046950221062,nan,13.13,1.5340015988331288,10.41,1200,nan,coreset,10.36,10.36,48800,7,14.164569570915774,nan,0.02897302294149995,11.621040459955111
5000,0.6315581931266934,nan,13.11,1.6047955921385437,10.38,1300,nan,coreset,10.34,10.34,48700,8,15.672821633983403,nan,0.030746411997824907,13.062720131129026
5000,0.6498562060296535,nan,13.5,1.4789392270613462,10.49,1400,nan,coreset,10.46,10.46,48600,9,16.128273970913142,nan,0.032705341931432486,13.565503154881299
5000,0.6379524229560047,nan,14.56,1.1825381319504231,11.87,1500,nan,coreset,11.85,11.85,48500,10,14.36293684411794,nan,0.03122497978620231,12.148448382969946
5000,0.5141074790153652,nan,15.7,1.1781173970084637,12.21,1600,nan,coreset,12.16,12.16,48400,11,14.048327944008633,nan,0.028646558057516813,11.98297714209184
5000,0.5197730110958219,nan,15.46,1.2888251240365207,12.01,1700,nan,coreset,11.96,11.96,48300,12,16.186034138081595,nan,0.030988008016720414,13.992554483003914
5000,0.6381836929358542,nan,14.2,1.4571431200020015,11.63,1800,nan,coreset,11.59,11.59,48200,13,17.597870432771742,nan,0.028747910168021917,15.106543696019799
5000,0.61501459707506,nan,16.3,1.3549106309656054,12.96,1900,nan,coreset,12.91,12.91,48100,14,18.323300493881106,nan,0.027160726953297853,16.00001187599264
5000,0.458761011948809,nan,17.03,1.4131933168973774,13.69,2000,nan,coreset,13.58,13.58,48000,15,18.472354019992054,nan,0.02853202004916966,16.249046471901238
5000,0.689740956062451,nan,17.54,1.346939886920154,13.48,2100,nan,coreset,13.39,13.39,47900,16,19.43257807008922,nan,0.029488632921129465,17.023181557888165
5000,0.5786897928919643,nan,17.56,1.377747364109382,13.98,2200,nan,coreset,13.97,13.97,47800,17,21.376688599120826,nan,0.029444311978295445,19.02146172011271
5000,0.6079447478987277,nan,18.11,1.455637760926038,14.1,2300,nan,coreset,14.09,14.09,47700,18,22.26688513206318,nan,0.030955835012719035,19.79668616410345
5000,0.6291991830803454,nan,18.31,1.6683212898205966,14.18,2400,nan,coreset,14.1,14.1,47600,19,21.516966552007943,nan,0.04050007602199912,18.821632193168625
5000,0.6105496680829674,nan,17.52,1.2932129921391606,13.37,2500,nan,coreset,13.28,13.28,47500,20,21.889533224981278,nan,0.032843407010659575,19.588139138184488
